,tweet_id,media_type,retweet_count,favorite_count,user_followers
2159,669214165781868544,photo,173,445,7620505
2160,669203728096960512,photo,491,1016,7620505
2161,669037058363662336,photo,321,667,7620505
2162,669015743032369152,photo,382,753,7620505
2163,669006782128353280,photo,257,586,7620505
2164,669000397445533696,photo,6529,21175,7620505
2165,668994913074286592,photo,238,449,7620505
2166,668992363537309700,photo,355,751,7620505
2167,668989615043424256,photo,337,693,7620505
2168,668988183816871936,photo,484,911,7620505
2169,668986018524233728,photo,173,563,7620505
2170,668981893510119424,photo,317,546,7620505
2171,668979806671884288,photo,356,805,7620505
2172,668975677807423489,photo,597,1324,7620505
2173,668967877119254528,no media,25,148,7620505
2174,668960084974809088,photo,245,715,7620505
2175,668955713004314625,photo,74,285,7620505
2176,668932921458302977,photo,59,269,7620505
2177,668902994700836864,photo,103,324,7620505
2178,668892474547511297,photo,154,400,7620505
2179,668872652652679168,photo,308,537,7620505
2180,668852170888998912,photo,171,459,7620505
2181,668826086256599040,photo,141,441,7620505
2182,668815180734689280,photo,278,583,7620505
2183,668779399630725120,photo,380,712,7620505
2184,668655139528511488,photo,223,540,7620505
2185,668645506898350081,photo,549,908,7620506
2186,668643542311546881,photo,542,889,7620506
2187,668641109086707712,photo,553,1096,7620506
2188,668636665813057536,photo,500,1056,7620506
2189,668633411083464705,photo,1691,2859,7620506
2190,668631377374486528,photo,325,730,7620506
2191,668627278264475648,photo,118,323,7620506
2192,668625577880875008,photo,138,394,7620506
2193,668623201287675904,photo,793,1457,7620506
2194,668620235289837568,photo,44,206,7620506
2195,668614819948453888,photo,321,621,7620506
2196,668587383441514497,no media,1102,1691,7620506
2197,668567822092664832,photo,57,248,7620506
2198,668544745690562560,photo,232,528,7620506
2199,668542336805281792,photo,221,469,7620506
2200,668537837512433665,photo,77,255,7620506
2201,668528771708952576,photo,232,471,7620506
2202,668507509523615744,photo,111,330,7620506
2203,668496999348633600,photo,135,420,7620506
2204,668484198282485761,photo,241,432,7620505
2205,668480044826800133,photo,152,469,7620505
2206,668466899341221888,photo,526,896,7620505
2207,668297328638447616,photo,304,629,7620505
2208,668291999406125056,photo,32,247,7620505
2209,668286279830867968,photo,142,513,7620506
2210,668274247790391296,photo,235,837,7620506
2211,668268907921326080,photo,243,560,7620506
2212,668256321989451776,photo,633,1318,7620507
2213,668248472370458624,photo,501,1008,7620507
2214,668237644992782336,photo,2908,6287,7620507
2215,668226093875376128,photo,106,304,7620507
2216,668221241640230912,photo,203,517,7620507
2217,668204964695683073,photo,200,558,7620507
2218,668190681446379520,photo,200,660,7620507
2219,668171859951755264,photo,201,500,7620507
2220,668154635664932864,photo,323,504,7620507
2221,668142349051129856,photo,294,574,7620508
2222,668113020489474048,photo,248,670,7620508
2223,667937095915278337,photo,809,1280,7620508
2224,667924896115245057,photo,113,306,7620508
2225,667915453470232577,photo,58,212,7620508
2226,667911425562669056,photo,310,494,7620508
2227,667902449697558528,photo,383,860,7620508
2228,667886921285246976,photo,1114,1904,7620508
2229,667885044254572545,photo,499,824,7620508
2230,667878741721415682,photo,122,394,7620508
2231,667873844930215936,photo,416,632,7620508
2232,667866724293877760,photo,1054,3031,7620508
2233,667861340749471744,photo,78,244,7620508
